 written on 25Nov2024 at 13:34:33 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    2    3   -0.12578387E-01 -0.33934039E-02
    3    3    0.88981402E-02  0.12540419E-03
    4    3   -0.20253647E-03  0.55852560E-03
    5    3   -0.90024803E-02 -0.34670082E-02
    6    3   -0.12226232E-01  0.39811250E-02
    1    4    0.11514788E-01 -0.19722278E-02
    2    4    0.25809196E-04  0.43180866E-05
    3    4    0.21980026E-03  0.55218862E-03
    4    4   -0.40418287E-02  0.26040221E-04
    5    4   -0.20373285E-04 -0.73149033E-04
    6    4    0.85966017E-05  0.26710141E-04
    1    5   -0.78141411E-04  0.14406866E-04
    2    5    0.38150217E-03 -0.90503810E-03
    3    5   -0.15732021E-01  0.59792450E-02
    4    5    0.74044878E-07 -0.10481565E-04
    5    5   -0.58990983E-03 -0.18234554E-03
    6    5    0.21425943E-02  0.13579812E-02
    1    6    0.41815451E-04 -0.23377786E-04
    2    6    0.14223075E-02  0.58453307E-03
    3    6    0.17741516E-01  0.37997356E-02
    4    6    0.60258462E-04 -0.66771117E-04
    5    6   -0.17645774E-02 -0.85047173E-03
    6    6    0.13584301E-02 -0.33396876E-03

   -3   -4    0
    1    1    0.10909155E-01  0.44267038E-04
    2    1    0.23876094E-04 -0.17495703E-03
    3    1    0.38517079E-03 -0.56708440E-03
    4    1   -0.87380414E-02 -0.30094327E-02
    5    1    0.11210377E-03  0.15393535E-03
    6    1    0.83882841E-04 -0.32508159E-04
    1    2    0.42668945E-05 -0.22980969E-04
    2    2    0.23084732E-02 -0.92478956E-03
    3    2   -0.45452964E-01 -0.19789307E-02
    4    2   -0.19558495E-05 -0.48067826E-04
    5    2    0.27875043E-02 -0.10682970E-02
    6    2    0.11596677E-02 -0.64659545E-03
    1    3    0.24765416E-03 -0.35023319E-03
    2    3    0.27911458E-01  0.23401364E-02
    3    3    0.12742729E-01  0.76603687E-03
    4    3    0.27483178E-03 -0.24951014E-03
    5    3   -0.88087141E-02  0.19896342E-02
    6    3    0.34352646E-02 -0.39965210E-02
    1    4   -0.50680537E-02  0.29086415E-02
    2    4   -0.68208301E-05 -0.37047339E-04
    3    4   -0.55805640E-03 -0.12144537E-02
    4    4    0.46544439E-02 -0.47032775E-04
    5    4   -0.18995934E-04  0.21522379E-04
    6    4   -0.76079650E-05  0.12405399E-04
    1    5    0.74785666E-05  0.56341043E-04
    2    5   -0.35475573E-02  0.26481775E-03
    3    5   -0.33408737E-01 -0.44590111E-02
    4    5    0.92717376E-05  0.29438035E-04
    5    5    0.33665101E-02 -0.66856155E-03
    6    5    0.60627515E-03 -0.41011461E-03
    1    6   -0.44520361E-04  0.11215594E-03
    2    6   -0.18359291E-03  0.99093540E-04
    3    6   -0.75585822E-01 -0.15959917E-01
    4    6   -0.82907503E-04  0.26534579E-04
    5    6    0.17001785E-02  0.14544059E-02
    6    6    0.12424377E-02  0.83007997E-03

   -3   -3    0
    1    1    0.10723702E-01 -0.14293608E-05
    2    1   -0.18777404E-03  0.48844848E-04
    3    1   -0.18438069E-02 -0.17922805E-02
    4    1   -0.22990113E-01 -0.10417810E-01
